NAME X Y KRON_FLUX REDSHIFT QUALITY
136 1181.12 515.35 7.6 0.2325 1.98
137 12.76 516.0 6.79 0.215 2.34
138 1548.13 521.31 8.68 0.2307 1.41
139 1111.95 529.05 27.4 0.2458 3.11
140 1149.76 534.32 145.14 0.215 1.21
141 1545.62 531.89 33.01 0.2247 1.46
142 999.15 536.82 10.7 0.2255 1.64
143 1065.89 546.1 14.94 0.225 1.44
144 1000.75 546.53 17.88 0.2234 1.76
145 1458.52 547.54 11.45 0.2438 1.79
146 1514.79 549.92 8.87 0.215 2.24
147 2.39 555.22 24.47 0.224 1.7
148 79.39 558.03 38.68 0.2287 1.38
149 1817.53 559.08 91.68 0.2292 1.36
150 699.19 558.02 10.41 0.2458 7.66
151 439.88 559.25 11.54 0.2244 2.98
152 112.15 562.94 9.69 0.2401 1.94
153 1565.51 565.17 16.74 0.2243 1.51
154 777.51 572.51 72.66 0.2243 1.45
155 565.97 572.27 30.28 0.224 1.51
156 1214.8 573.06 5.98 0.2151 1.69
157 1406.99 578.38 15.16 0.2243 2.32
158 627.57 581.61 29.96 0.2331 1.43
159 544.75 599.16 159.48 0.2339 1.22
160 363.6 596.99 28.61 0.2226 1.3
161 1908.49 599.79 68.46 0.2269 3.31
162 1710.35 611.85 179.98 0.215 1.22
163 1202.92 609.83 22.14 0.2455 3.96
164 981.13 618.17 16.9 0.2243 1.54
165 1085.91 620.66 23.22 0.2243 1.58
166 561.71 622.87 33.11 0.224 2.02
167 569.05 620.87 9.64 0.2395 2.01
168 877.84 625.01 32.52 0.2342 1.35
169 502.21 630.85 13.07 0.215 1.69
170 367.19 636.92 452.42 0.215 1.31
171 1270.15 633.09 18.72 0.2243 2.18
172 664.78 643.29 552.41 0.2377 1.54
173 987.08 636.85 13.41 0.2241 1.74
174 1680.45 638.24 11.41 0.235 1.56
175 407.44 639.75 16.43 0.2293 4.46
176 1308.99 643.61 12.66 0.2363 7.66
177 12.53 646.22 20.21 0.2243 1.74
178 1604.22 646.72 16.42 0.2244 1.49
179 1734.96 648.24 21.16 0.2246 1.62
180 180.78 652.76 52.79 0.2154 1.28
181 147.1 655.67 70.28 0.2363 1.24
182 1867.75 652.94 14.14 0.2345 2.41
183 882.15 655.35 21.53 0.2241 1.65
184 1726.65 653.74 18.94 0.2289 1.34
185 1320.84 656.2 5.85 0.2151 1.49
186 502.25 661.4 8.88 0.2327 1.59
187 447.06 661.99 16.0 0.2232 1.47
188 650.84 696.2 4656.83 0.2087 -0.06
189 1596.93 662.49 5.54 0.2401 1.78
190 1175.48 666.18 10.44 0.2222 1.98
191 855.71 671.56 17.25 0.2244 1.45
192 1630.97 673.53 15.63 0.215 1.69
193 799.89 674.81 9.92 0.2273 2.17
194 1108.42 677.75 27.33 0.2313 1.38
195 1448.41 679.21 5.77 0.2243 1.42
196 380.7 689.16 152.97 0.2282 1.2
197 1937.55 687.82 8.36 0.2365 2.38
198 552.41 694.33 12.25 0.2243 2.61
199 935.5 695.43 8.62 0.2353 1.54
200 1340.26 711.41 89.61 0.2307 1.18
201 449.48 709.09 20.43 0.2305 2.06
202 871.67 712.42 31.56 0.2456 6.37
203 949.22 715.17 147.43 0.2299 1.15
204 1779.63 712.89 13.49 0.229 2.0
205 1189.14 718.27 17.79 0.2243 1.48
206 1068.85 722.34 58.67 0.2327 1.32
207 1565.66 719.45 12.21 0.229 2.27
208 545.68 721.56 19.94 0.224 2.15
209 1607.96 719.81 9.72 0.2266 2.82
210 1929.51 720.97 8.77 0.2371 1.7
211 569.64 723.34 16.25 0.2243 1.57
212 467.94 731.53 17.16 0.2241 1.51
213 1661.85 734.47 62.29 0.2311 1.22
214 1787.75 738.84 21.51 0.2244 1.57
215 1580.66 738.94 8.14 0.2362 2.3
216 197.33 745.33 34.27 0.2237 1.38
217 287.75 749.85 58.0 0.2287 1.24
218 245.97 760.47 14.82 0.2241 2.01
219 672.87 761.03 10.04 0.2438 1.68
220 519.66 769.91 13.98 0.2151 1.43
221 96.03 775.74 324.69 0.2359 1.17
222 1751.39 774.64 11.23 0.2354 1.64
223 19.26 776.11 13.58 0.2388 1.58
224 185.73 787.39 717.78 0.2318 1.6
225 1427.86 787.69 227.94 0.2313 1.41
226 1586.71 784.29 10.13 0.2354 2.22
227 1467.03 787.31 7.44 0.2435 1.96
228 202.38 789.3 11.85 0.2249 1.88
229 353.92 796.69 15.42 0.2385 2.24
230 1879.85 800.36 114.64 0.2313 1.29
231 1366.52 798.45 9.27 0.2275 2.09
232 562.24 799.42 8.8 0.2228 1.51
233 887.93 801.25 15.15 0.2214 1.55
234 166.88 804.92 14.06 0.2427 2.06
235 951.52 807.03 38.67 0.2334 1.4
236 649.03 813.5 59.79 0.227 1.57
237 558.09 815.79 14.28 0.2244 1.45
238 941.58 820.22 24.23 0.215 1.34
239 645.29 820.3 13.66 0.2232 2.13
240 650.17 820.5 8.94 0.2345 1.68
241 782.39 824.4 13.97 0.215 1.78
242 645.83 825.2 11.41 0.2342 2.61
243 649.99 825.36 16.94 0.2279 1.58
244 241.29 829.76 59.17 0.215 1.19
245 1341.24 826.79 6.09 0.2255 5.29
246 175.34 830.7 11.85 0.2151 1.6
247 442.21 832.8 14.86 0.2243 1.72
248 1474.93 836.13 16.06 0.2243 2.08
249 113.67 842.21 187.27 0.2214 1.17
250 1767.19 844.22 9.2 0.2385 2.08
251 877.5 851.59 59.54 0.2234 1.41
252 1174.28 851.55 6.67 0.2243 1.71
253 723.67 854.47 7.0 0.2392 1.57
254 1363.99 856.22 6.04 0.241 1.55
255 1158.84 860.3 7.95 0.2273 1.58
256 426.79 865.6 4.98 0.2267 2.03
257 886.74 869.85 15.11 0.2353 1.6
258 1206.58 872.02 7.62 0.2398 2.92
259 1463.27 877.72 7.77 0.2378 2.18
260 1874.94 891.76 13.72 0.2339 2.9
261 1594.86 893.44 15.22 0.2241 1.67
262 1829.81 892.0 5.92 0.2401 2.54
263 1182.5 896.93 9.03 0.2258 1.52
264 319.99 899.19 7.6 0.224 2.81
265 709.89 900.81 15.88 0.2298 1.99
266 483.61 905.01 21.16 0.2243 1.74
267 1099.36 905.26 10.04 0.2311 1.66
268 387.3 906.98 11.29 0.2151 1.55
269 1289.43 907.75 7.94 0.2215 3.65
270 1640.18 914.41 56.66 0.2286 1.24
271 1071.21 916.47 23.69 0.215 1.36
272 1161.16 915.93 8.86 0.2424 1.54
273 791.56 922.15 43.61 0.2238 1.51
274 1161.56 928.38 17.75 0.2243 1.53
275 25.87 928.28 9.03 0.2235 2.1
276 1509.18 928.44 6.16 0.2391 1.64
277 542.29 930.45 10.86 0.2249 1.88
278 63.65 932.43 10.53 0.2324 1.64
279 651.33 938.14 7.54 0.2279 2.07
280 794.05 940.79 6.5 0.2427 1.79
281 1346.97 944.49 8.85 0.2235 1.76
282 589.17 947.9 9.43 0.2281 1.77
283 1802.09 950.44 17.93 0.2276 1.64
284 1424.82 950.21 6.09 0.2281 1.82
285 1718.55 951.32 21.71 0.2244 1.77
286 521.96 956.55 19.51 0.2244 1.51
287 147.17 955.78 10.74 0.2261 1.61
288 579.66 956.42 9.26 0.2366 1.63
289 75.04 958.69 36.27 0.2237 1.4
290 1654.03 957.75 7.39 0.2151 1.6
291 373.75 968.22 617.44 0.2314 2.6
292 661.09 963.1 31.32 0.2241 1.53
293 1009.69 963.3 21.37 0.2269 1.34
294 1772.13 970.71 5.54 0.2377 2.04
295 1314.62 971.78 4.91 0.2235 1.83
296 906.71 973.29 7.82 0.2225 1.58
297 1038.19 974.62 10.24 0.2359 1.93
298 1610.7 989.65 593.39 0.2263 2.29
299 116.03 984.52 44.3 0.2247 1.33
300 1142.47 984.97 35.65 0.215 1.41
301 154.51 987.3 77.42 0.2225 1.21
302 1899.87 984.88 18.28 0.2318 1.55
303 1767.53 994.57 295.42 0.2406 1.22
304 1212.14 988.05 7.77 0.2287 1.59
305 984.76 990.65 16.74 0.2241 1.6
306 29.61 992.84 41.9 0.2241 1.65
307 503.79 995.23 11.81 0.224 1.72
308 181.46 1002.03 47.9 0.215 1.31
309 549.45 1004.98 27.38 0.2241 1.28
310 834.43 1004.47 15.95 0.215 1.9
311 1822.68 1003.03 6.69 0.2418 2.8
